"","X.strike.","X.strikedate.","X.nummentions."
"1","strike","strikedate","nummentions"
"1010","116","19008","0"
"1011","116","19009","0"
"1012","116","19010","0"
"1013","116","19011","0"
"1014","116","19012","0"
"1015","116","19013","0"
"1016","116","19014","0"
"1017","116","19015","0"
"1018","116","19016","0"
"1019","116","19017","0"
"1020","117","18949","10"
"1021","118","18949","652"
"1022","119","18949","2082"
"1023","120","18949","346"
"1024","121","18949","1943"
"1025","122","18949","28"
"1026","123","18948","2258"
"1027","124","18948","608"
"1028","125","18948","1407"
"1029","126","18948","959"
"1030","127","18948","2287"
"1031","128","18948","216"
"1032","129","18947","2600"
"1033","129","18948","2251"
"1034","130","18947","265"
"1035","131","18947","1707"
"1036","132","18947","403"
"1037","133","18946","301"
"1038","133","18947","366"
"1039","134","18946","1005"
"1040","135","18944","315"
"1041","136","18943","1017"
"1042","136","18944","935"
"1043","136","18945","1007"
"1044","136","18946","1227"
"1045","136","18947","1467"
"1046","137","18943","4533"
"1047","137","18944","4188"
"1048","137","18945","4437"
"1049","137","18946","5162"
"1050","138","18941","1977"
"1051","139","18941","2034"
"1052","140","18940","4219"
"1053","141","18940","135"
"1054","141","18941","130"
"1055","141","18942","174"
"1056","141","18943","120"
"1057","141","18944","119"
"1058","141","18945","130"
"1059","141","18946","128"
"1060","141","18947","147"
"1061","141","18948","169"
"1062","141","18949","121"
"1063","141","18950","215"
"1064","141","18951","158"
"1065","141","18952","177"
"1066","141","18953","148"
"1067","141","18954","144"
"1068","141","18955","126"
"1069","141","18956","75"
"1070","141","18957","103"
"1071","141","18958","165"
"1072","141","18959","140"
"1073","141","18960","121"
"1074","141","18961","129"
"1075","141","18962","146"
"1076","141","18963","157"
"1077","142","18940","11"
"1078","143","18940","2232"
"1079","144","18940","3885"
"1080","145","18940","3885"
"1081","146","18940","3885"
"1082","147","18940","3885"
"1083","148","18940","3885"
"1084","149","18940","3885"
"1085","150","18940","3885"
"1086","151","18940","1114"
"1087","152","18939","415"
"1088","152","18940","425"
"1089","152","18941","412"
"1090","152","18942","425"
"1091","152","18943","442"
"1092","153","18939","1007"
"1093","154","18939","2223"
"1094","155","18938","1819"
"1095","156","18937","338"
"1096","156","18938","313"
"1097","156","18939","286"
"1098","157","18937","793"
"1099","157","18938","990"
"1100","157","18939","909"
"1101","157","18940","972"
"1102","157","18941","1054"
"1103","157","18942","1130"
"1104","157","18943","1015"
"1105","158","18937","1341"
"1106","158","18938","1618"
"1107","158","18939","1631"
"1108","158","18940","1695"
"1109","158","18941","1959"
"1110","158","18942","1888"
"1111","158","18943","1774"
"1112","159","18936","26"
"1113","159","18937","32"
"1114","159","18938","19"
"1115","160","18936","1574"
"1116","161","18936","805"
"1117","161","18937","846"
"1118","161","18938","1030"
"1119","161","18939","947"
"1120","161","18940","1010"
"1121","161","18941","1080"
"1122","161","18942","1152"
"1123","161","18943","1051"
"1124","161","18944","967"
"1125","161","18945","1041"
"1126","161","18946","1264"
"1127","161","18947","1496"
"1128","161","18948","1236"
"1129","161","18949","1049"
"1130","161","18950","1274"
"1131","161","18951","996"
"1132","161","18952","1051"
"1133","161","18953","1218"
"1134","161","18954","1128"
"1135","161","18955","1148"
"1136","161","18956","966"
"1137","161","18957","914"
"1138","161","18958","1216"
"1139","161","18959","1027"
"1140","161","18960","1226"
"1141","161","18961","1041"
"1142","161","18962","1362"
"1143","161","18963","1255"
"1144","161","18964","1223"
"1145","161","18965","1011"
"1146","161","18966","1301"
"1147","161","18967","1139"
"1148","161","18968","869"
"1149","161","18969","976"
"1150","161","18970","980"
"1151","161","18971","1"
"1152","161","18972","0"
"1153","161","18973","0"
"1154","161","18974","0"
"1155","161","18975","0"
"1156","161","18976","0"
"1157","161","18977","0"
"1158","161","18978","0"
"1159","161","18979","0"
"1160","161","18980","0"
"1161","161","18981","0"
"1162","161","18982","0"
"1163","161","18983","0"
"1164","161","18984","0"
"1165","161","18985","0"
"1166","161","18986","0"
"1167","161","18987","0"
"1168","161","18988","0"
"1169","161","18989","0"
"1170","161","18990","0"
"1171","161","18991","0"
"1172","161","18992","0"
"1173","161","18993","0"
"1174","161","18994","0"
"1175","161","18995","0"
"1176","161","18996","0"
"1177","161","18997","0"
"1178","161","18998","0"
"1179","161","18999","0"
"1180","161","19000","0"
"1181","161","19001","0"
"1182","161","19002","0"
"1183","161","19003","0"
