"","Date","Comments","Users","Posts","Total.Covid.Cases"
"505","2014-12-30",NA,967,NA,NA
"506","2014-12-31",NA,973,NA,NA
"507","2015-01-01",NA,974,NA,NA
"508","2015-01-02",NA,974,NA,NA
"509","2015-01-03",NA,976,NA,NA
"510","2015-01-04",NA,977,NA,NA
"511","2015-01-05",NA,980,NA,NA
"512","2015-01-06",NA,999,NA,NA
"513","2015-01-07",NA,1003,NA,NA
"514","2015-01-08",NA,1003,NA,NA
"515","2015-01-09",NA,1003,NA,NA
"516","2015-01-10",NA,1004,NA,NA
"517","2015-01-11",NA,1004,NA,NA
"518","2015-01-12",NA,1005,NA,NA
"519","2015-01-13",NA,1007,NA,NA
"520","2015-01-14",NA,1009,NA,NA
"521","2015-01-15",NA,1011,NA,NA
"522","2015-01-16",NA,1013,NA,NA
"523","2015-01-17",NA,1013,NA,NA
"524","2015-01-18",NA,1012,NA,NA
"525","2015-01-19",NA,1011,NA,NA
"526","2015-01-20",NA,1011,NA,NA
"527","2015-01-21",NA,1012,NA,NA
"528","2015-01-22",NA,1014,NA,NA
"529","2015-01-23",NA,1016,NA,NA
"530","2015-01-24",NA,1021,NA,NA
"531","2015-01-25",NA,1024,NA,NA
"532","2015-01-26",NA,1025,NA,NA
"533","2015-01-27",NA,1027,NA,NA
"534","2015-01-28",NA,1028,NA,NA
"535","2015-01-29",NA,1027,NA,NA
"536","2015-01-30",NA,1028,NA,NA
"537","2015-01-31",NA,1029,NA,NA
"538","2015-02-01",NA,1031,NA,NA
"539","2015-02-02",NA,1032,NA,NA
"540","2015-02-03",NA,1032,NA,NA
"541","2015-02-04",NA,1031,NA,NA
"542","2015-02-05",NA,1034,NA,NA
"543","2015-02-06",NA,1035,NA,NA
"544","2015-02-07",NA,1036,NA,NA
"545","2015-02-08",NA,1046,NA,NA
"546","2015-02-09",NA,1059,NA,NA
"547","2015-02-10",NA,1060,NA,NA
"548","2015-02-11",NA,1060,NA,NA
"549","2015-02-12",NA,1061,NA,NA
"550","2015-02-13",NA,1061,NA,NA
"551","2015-02-14",NA,1062,NA,NA
"552","2015-02-15",NA,1063,NA,NA
"553","2015-02-16",NA,1064,NA,NA
"554","2015-02-17",NA,1065,NA,NA
"555","2015-02-18",NA,1067,NA,NA
"556","2015-02-19",NA,1068,NA,NA
"557","2015-02-20",NA,1070,NA,NA
"558","2015-02-21",NA,1072,NA,NA
"559","2015-02-22",NA,1074,NA,NA
"560","2015-02-23",NA,1076,NA,NA
"561","2015-02-24",NA,1081,NA,NA
"562","2015-02-25",NA,1106,NA,NA
"563","2015-02-26",NA,1110,NA,NA
"564","2015-02-27",NA,1113,NA,NA
"565","2015-02-28",NA,1114,NA,NA
"566","2015-03-01",NA,1114,NA,NA
"567","2015-03-02",NA,1119,NA,NA
"568","2015-03-03",NA,1120,NA,NA
"569","2015-03-04",NA,1123,NA,NA
"570","2015-03-05",NA,1125,NA,NA
"571","2015-03-06",NA,1128,NA,NA
"572","2015-03-07",NA,1127,NA,NA
"573","2015-03-08",NA,1127,NA,NA
"574","2015-03-09",NA,1128,NA,NA
"575","2015-03-10",NA,1130,NA,NA
"576","2015-03-11",NA,1131,NA,NA
"577","2015-03-12",NA,1131,NA,NA
"578","2015-03-13",NA,1149,NA,NA
"579","2015-03-14",NA,1155,NA,NA
"580","2015-03-15",NA,1159,NA,NA
"581","2015-03-16",NA,1161,NA,NA
"582","2015-03-17",NA,1160,NA,NA
"583","2015-03-18",NA,1161,NA,NA
"584","2015-03-19",NA,1162,NA,NA
"585","2015-03-20",NA,1164,NA,NA
"586","2015-03-21",NA,1164,NA,NA
"587","2015-03-22",NA,1164,NA,NA
"588","2015-03-23",NA,1164,NA,NA
"589","2015-03-24",NA,1163,NA,NA
"590","2015-03-25",NA,1181,NA,NA
"591","2015-03-26",NA,1198,NA,NA
"592","2015-03-27",NA,1203,NA,NA
"593","2015-03-28",NA,1208,NA,NA
"594","2015-03-29",NA,1207,NA,NA
"595","2015-03-30",NA,1207,NA,NA
"596","2015-03-31",NA,1208,NA,NA
"597","2015-04-01",NA,1209,NA,NA
"598","2015-04-02",NA,1212,NA,NA
"599","2015-04-03",NA,1216,NA,NA
"600","2015-04-04",NA,1216,NA,NA
"601","2015-04-05",NA,1218,NA,NA
"602","2015-04-06",NA,1217,NA,NA
"603","2015-04-07",NA,1216,NA,NA
"604","2015-04-08",NA,1217,NA,NA
"605","2015-04-09",NA,1220,NA,NA
"606","2015-04-10",NA,1221,NA,NA
"607","2015-04-11",NA,1223,NA,NA
"608","2015-04-12",NA,1223,NA,NA
"609","2015-04-13",NA,1224,NA,NA
"610","2015-04-14",NA,1225,NA,NA
"611","2015-04-15",NA,1226,NA,NA
"612","2015-04-16",NA,1230,NA,NA
"613","2015-04-17",NA,1230,NA,NA
"614","2015-04-18",NA,1232,NA,NA
"615","2015-04-19",NA,1232,NA,NA
"616","2015-04-20",NA,1233,NA,NA
"617","2015-04-21",NA,1237,NA,NA
"618","2015-04-22",NA,1239,NA,NA
"619","2015-04-23",NA,1241,NA,NA
"620","2015-04-24",NA,1242,NA,NA
"621","2015-04-25",NA,1245,NA,NA
"622","2015-04-26",NA,1247,NA,NA
"623","2015-04-27",NA,1248,NA,NA
"624","2015-04-28",NA,1265,NA,NA
"625","2015-04-29",NA,1266,NA,NA
"626","2015-04-30",NA,1266,NA,NA
"627","2015-05-01",NA,1267,NA,NA
"628","2015-05-02",NA,1270,NA,NA
"629","2015-05-03",NA,1269,NA,NA
"630","2015-05-04",NA,1273,NA,NA
"631","2015-05-05",NA,1278,NA,NA
"632","2015-05-06",NA,1281,NA,NA
"633","2015-05-07",NA,1281,NA,NA
"634","2015-05-08",NA,1282,NA,NA
"635","2015-05-09",NA,1281,NA,NA
"636","2015-05-10",NA,1287,NA,NA
"637","2015-05-11",NA,1286,NA,NA
"638","2015-05-12",NA,1288,NA,NA
"639","2015-05-13",NA,1290,NA,NA
"640","2015-05-14",NA,1293,NA,NA
"641","2015-05-15",NA,1296,NA,NA
"642","2015-05-16",NA,1298,NA,NA
"643","2015-05-17",NA,1299,NA,NA
"644","2015-05-18",NA,1299,NA,NA
"645","2015-05-19",NA,1302,NA,NA
"646","2015-05-20",NA,1302,NA,NA
"647","2015-05-21",NA,1303,NA,NA
"648","2015-05-22",NA,1303,NA,NA
"649","2015-05-23",NA,1304,NA,NA
"650","2015-05-24",NA,1308,NA,NA
"651","2015-05-25",NA,1310,NA,NA
"652","2015-05-26",NA,1311,NA,NA
"653","2015-05-27",NA,1313,NA,NA
